video_id,title,thumbnail_link,score,tagsid
kzwfHumJyYc,Sharry Mann: Cute Munda ( Song Teaser) | Parmish Verma | Releasing on 17 November,https://i.ytimg.com/vi/kzwfHumJyYc/default.jpg,"[1, 8140, 8143, 8141, 8142, 8145, 7538, 7541, 7543, 7544, 7539, 7346, 7711, 7542, 7540, 7714, 3793, 2554, 1055, 2748, 3901, 4168, 3126, 4528, 3466, 7470, 2959]","[8140, 8143, 8141, 8142, 8145, 7538, 7541, 7543, 7544, 7539, 7346, 7711, 7542, 7540, 7714]"
zUZ1z7FwLc8,"पीरियड्स के समय, पेट पर पति करता ऐसा, देखकर दंग रह जायेंगे",https://i.ytimg.com/vi/zUZ1z7FwLc8/default.jpg,"[25, 9337, 9345, 9290, 6891, 8660, 7368, 5353, 5576, 8988, 6265, 5335, 7369, 5840, 7109, 6978, 5350, 7573, 7631, 5060, 9336, 9157, 9531, 9344, 9327, 9325, 9121, 9110, 9289, 9277, 9452, 9239]","[9337, 9345, 9290, 6891, 8660, 7368, 5353, 5576, 8988, 6265, 5335, 7369, 5840, 7109, 6978, 5350, 7573, 7631, 5060]"
10L1hZ9qa58,Stylish Star Allu Arjun @ ChaySam Wedding Reception | TFPC,https://i.ytimg.com/vi/10L1hZ9qa58/default.jpg,"[24, 3969, 3968, 947, 7256, 7992, 5433, 5432, 7245, 8954, 7260, 4865, 8584, 8560, 5401, 3967, 3940, 422, 499, 234, 945, 4644, 3456, 4044]","[3969, 3968, 947, 7256, 7992, 5433, 5432, 7245, 8954, 7260, 4865, 8584, 8560, 5401]"
N1vE8iiEg64,Eruma Saani | Tamil vs English,https://i.ytimg.com/vi/N1vE8iiEg64/default.jpg,"[23, 1354, 4108, 1451, 2726, 1710, 3824, 1443, 1360, 1359, 1357, 1355, 1356, 1358, 4154, 4102, 1329, 1777, 4066, 3696, 3701, 1353, 3586, 4102, 8921, 1329]","[1354, 4108, 1451, 2726, 1710, 3824, 1443, 1360, 1359, 1357, 1355, 1356, 1358, 4154, 4102, 1329, 1777, 4066, 3696, 3701]"
kJzGH0PVQHQ,why Samantha became EMOTIONAL @ Samantha naga chaithanya marriage Reception | Filmylooks,https://i.ytimg.com/vi/kJzGH0PVQHQ/default.jpg,"[24, 1454, 6891, 8573, 8574, 4322, 8975, 8974, 7999, 948, 2809, 8014, 8973, 3621, 5135, 1239, 234, 3621, 7238, 5411, 7080, 3456, 1454]","[1454, 6891, 8573, 8574, 4322, 8975, 8974, 7999, 948, 2809, 8014]"
il_pSa5l98w,"MCA (Middle Class Abbayi) TEASER - Nani,Sai Pallavi, Dil Raju, Devi Sri Prasad, Sriram Venu",https://i.ytimg.com/vi/il_pSa5l98w/default.jpg,"[24, 2901, 2902, 2854, 3600, 1177, 1143, 4196, 4195, 4192, 2861, 2859, 2452, 2662, 2449, 2450, 1438, 2856, 2454, 2453, 2451, 2857, 2858, 2449, 2661, 994, 308, 4038, 2864, 3108, 1175, 3390, 1142, 3931, 3230, 3934, 4521]","[2901, 2902, 2854, 3600, 1177, 1143, 4196, 4195, 4192, 2861, 2859, 2452, 2662, 2449, 2450, 1438, 2856, 2454, 2453, 2451, 2857, 2858]"
7MxiQ4v0EnE,Daang ( Full Video ) | Mankirt Aulakh | Sukh Sanghera | Latest Punjabi Song 2017 | Speed Records,https://i.ytimg.com/vi/7MxiQ4v0EnE/default.jpg,"[10, 7713, 7699, 7706, 7700, 7704, 7708, 7709, 7698, 5215, 6901, 7696, 5681, 8302, 7065, 5587, 8372, 5641, 7064, 1079, 1506, 4536, 2552, 550, 3984, 3665, 2336, 3286, 3901, 3925, 3461]","[7713, 7699, 7706, 7700, 7704, 7708, 7709, 7698, 5215, 6901, 7696, 5681, 8302, 7065, 5587, 8372, 5641, 7064]"
c64I9HNpiOY,Padmavati : Ek Dil Ek Jaan Video Song | Deepika Padukone | Shahid Kapoor | Sanjay Leela Bhansali,https://i.ytimg.com/vi/c64I9HNpiOY/default.jpg,"[10, 1298, 92, 1297, 3095, 3102, 3101, 5643, 7805, 6035, 7513, 1126, 3780, 3671, 3097, 1589, 1590, 3098, 7338, 6250, 8109, 8023, 6465, 7514, 6980, 6981, 5758, 3095, 1296, 1175, 1296, 1994, 4536, 3901, 1125, 3104, 3779, 2164, 3670, 2381, 713]","[1298, 92, 1297, 3095, 3102, 3101, 5643, 7805, 6035, 7513, 1126, 3780, 3671, 3097, 1589, 1590, 3098, 7338, 6250, 8109, 8023, 6465, 7514, 6980, 6981, 5758]"
KObFEYCaRx8,"Chiranjeevi in Naga Chaitanya - Samantha Reception | Chaitanya, Samantha Akkineni, Nag, Venkatesh",https://i.ytimg.com/vi/KObFEYCaRx8/default.jpg,"[24, 973, 7, 3622, 2792, 4513, 2603, 2604, 972, 2797, 2795, 3621, 2801, 2818, 36, 3457, 399, 5466, 7251, 401, 1085, 7847, 971, 6415, 2793, 908, 3621, 3456, 908, 3621, 396, 2792, 4513]","[973, 7, 3622, 2792, 4513, 2603, 2604, 972, 2797, 2795, 3621, 2801, 2818, 36, 3457, 399, 5466, 7251, 401, 1085, 7847]"
g8QsfJhFpjY,New bike vs Old bike - the reality,https://i.ytimg.com/vi/g8QsfJhFpjY/default.jpg,"[24, 2085, 2086, 4143, 4108, 7331, 6607, 8602, 5290, 6605, 6133, 6132, 6131, 8506, 8894, 8701, 6609, 8431, 6634, 6606, 6608, 6610, 6296, 6295, 2906, 5288, 8921, 3000, 5288, 8590, 7829]","[2085, 2086, 4143, 4108, 7331, 6607, 8602, 5290, 6605, 6133, 6132, 6131, 8506, 8894, 8701, 6609, 8431, 6634, 6606, 6608, 6610, 6296, 6295]"
4du1KXBl4YU,Mehjabi Reveals Hina Khan Dirty Politics | Exclusive Interview | Bigg Boss  11,https://i.ytimg.com/vi/4du1KXBl4YU/default.jpg,"[24, 1775, 1776, 750, 734, 749, 751, 676, 753, 752, 4186, 4183, 4185, 4184, 2611, 8189, 7028, 7101, 6232, 5250, 8553, 8557, 8555, 5265, 2611, 3487, 1767, 2214, 1193, 3191, 1385, 1947, 736, 801]","[1775, 1776, 750, 734, 749, 751, 676, 753, 752, 4186, 4183, 4185, 4184, 2611, 8189, 7028, 7101, 6232, 5250, 8553, 8557, 8555, 5265]"
zOOmEDwPJX0,Jannat (Full Song) Aatish - Latest Punjabi Song 2017 - New Punjabi Songs 2017 - WHM,https://i.ytimg.com/vi/zOOmEDwPJX0/default.jpg,"[10, 306, 6902, 7350, 6899, 7360, 6905, 305, 7715, 7707, 2025, 7348, 6900, 7359, 6906, 8276, 7698, 307, 2024, 7710, 8971, 4780, 7918, 2023, 1506, 3901, 305, 2336, 3286, 3901, 2906, 3286, 3903, 4618]","[306, 6902, 7350, 6899, 7360, 6905, 305, 7715, 7707, 2025, 7348, 6900, 7359, 6906, 8276, 7698, 307, 2024, 7710, 8971, 4780, 7918]"
Prb_osSVE0M,Renu Desai Gives Rating For Pawan kalyan As Husband | Open Heart With RK | ABN Telugu,https://i.ytimg.com/vi/Prb_osSVE0M/default.jpg,"[25, 3479, 4807, 7562, 7560, 250, 7872, 7874, 7873, 7875, 7868, 3335, 7869, 245, 247, 246, 249, 248, 7871, 7866, 7867, 3471, 1137, 1600, 3440, 1487, 3144, 6642, 523, 1832, 3041, 1742, 4672, 3334, 245, 4187]","[3479, 4807, 7562, 7560, 250, 7872, 7874, 7873, 7875, 7868, 3335, 7869, 245, 247, 246, 249, 248, 7871, 7866, 7867]"
KHxdrECEsD0,Peehu Srivastav Performs On Daiya Yeh Main kahan Aa Phasi | The Voice India Kids | Episode 1,https://i.ytimg.com/vi/KHxdrECEsD0/default.jpg,"[24, 8607, 4083, 8608, 5039, 8209, 8213, 6738, 6735, 6736, 4101, 454, 84, 3150, 3935, 3157, 3010, 1093, 4730, 2508, 6635, 291, 3160, 4230, 4604, 1888, 2238, 1338]","[8607, 4083, 8608, 5039, 8209, 8213, 6738, 6735, 6736, 4101, 454, 84]"
so0ccfs-psI,Rowi Na | Nadha Virender | Official Music Video | Latest Punjabi Songs 2017 | VS Records,https://i.ytimg.com/vi/so0ccfs-psI/default.jpg,"[10, 7926, 7235, 7626, 6901, 7349, 5197, 5348, 7713, 7698, 8275, 7330, 6872, 7925, 7227, 7234, 5306, 7538, 7537, 7709, 7705, 7708, 7345, 7956, 5199, 5202, 3516, 2781, 2791, 4577, 2994, 2754, 4536, 2336, 3286, 3903, 4460, 3461]","[7926, 7235, 7626, 6901, 7349, 5197, 5348, 7713, 7698, 8275, 7330, 6872, 7925, 7227, 7234, 5306, 7538, 7537, 7709, 7705, 7708, 7345, 7956, 5199, 5202]"
